brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price
Maruti,Manual,2019,Diesel,1498,61329,1st owner,702000
Hyundai,Manual,2020,Diesel,1396,46446,1st owner,734000
Renault,Automatic,2017,Petrol,999,41308,3rd owner,285000
Tata,Manual,2018,Petrol,1199,94259,1st owner,384000
Honda,Manual,2016,Petrol,1199,79166,1st owner,382000
Hyundai,Manual,2019,Petrol,1086,61839,2nd owner,397000
Maruti,Manual,2020,Petrol,1197,46628,1st owner,522000
Maruti,Manual,2018,CNG,998,87192,1st owner,374000
Tata,Manual,2022,Diesel,1497,45834,1st owner,804000
Maruti,Manual,2022,Petrol,1197,18015,1st owner,528000
Tata,Manual,2020,Diesel,1497,52276,1st owner,718000
Ford,Manual,2018,Petrol,1194,87411,2nd owner,442000
Maruti,Manual,2019,Petrol,1197,47484,1st owner,431000
Hyundai,Manual,2021,Petrol,1197,19866,1st owner,765000
Maruti,Manual,2023,Petrol,998,21607,1st owner,467000
Hyundai,Manual,2015,Petrol,1197,62536,1st owner,311000
MG,Manual,2019,Diesel,1956,33306,1st owner,1286000
Hyundai,Automatic,2019,Diesel,1582,67168,1st owner,1037000
Ford,Manual,2019,Diesel,1498,27603,3rd owner,670000
Maruti,Manual,2020,Petrol,1197,36323,2nd owner,652000
Hyundai,Manual,2018,Petrol,1999,43368,1st owner,1225000
Hyundai,Manual,2019,Diesel,1396,51919,2nd owner,815000
Maruti,Manual,2022,Petrol,1462,15994,1st owner,872000
Honda,Manual,2016,Petrol,1497,72308,1st owner,523000
Honda,Manual,2018,Petrol,1199,27051,1st owner,515000
Tata,Manual,2018,Petrol,1199,35764,1st owner,421000
Renault,Manual,2021,Petrol,999,46375,2nd owner,654000
KIA,Manual,2019,Petrol,,90505,1st owner,980000
MG,Automatic,2019,Petrol,1451,14172,1st owner,1288000
Maruti,Manual,2020,Petrol,1197,27841,1st owner,581000
Tata,Manual,2021,Diesel,1956,30203,1st owner,1546000
Maruti,Manual,2021,Petrol,1197,25742,1st owner,476000
Honda,Manual,2015,Petrol,1198,91116,2nd owner,320000
Tata,Manual,2020,Petrol,1199,30274,2nd owner,595000
Renault,Automatic,2021,Petrol,999,30195,1st owner,711000
KIA,Manual,2022,Petrol,1497,51566,1st owner,1162000
KIA,Manual,2022,Petrol,998,4763,1st owner,981000
Hyundai,Manual,2023,Petrol,1197,20051,1st owner,890000
Volkswagen,Manual,2019,Petrol,999,68763,1st owner,534000
Hyundai,Manual,2015,Petrol,1197,63079,3rd owner,307000
Maruti,Manual,2022,Petrol,1462,15983,1st owner,852000
Maruti,Manual,2020,Petrol,1197,55790,1st owner,626000
KIA,Manual,2021,Petrol,1497,38307,1st owner,1058000
Nissan,Automatic,2022,Petrol,999,18193,2nd owner,836000
Hyundai,Manual,2019,Petrol,998,57649,2nd owner,729000
Honda,Automatic,2023,Petrol,1199,8376,1st owner,816000
Renault,Manual,2022,Petrol,999,13196,1st owner,690000
Maruti,Manual,2012,Petrol,1373,54751,1st owner,407000
Datsun,Manual,2019,Petrol,1198,27695,1st owner,400000
Honda,Manual,2017,Petrol,1497,102835,1st owner,608000
Honda,Manual,2019,Petrol,1199,37864,1st owner,543000
Honda,Automatic,2017,Petrol,1497,42012,1st owner,814000
Hyundai,Manual,2013,Petrol,1197,31479,1st owner,316000
KIA,Manual,2021,Petrol,1497,26456,1st owner,1221000
Toyota,Manual,2021,Petrol,1462,42381,1st owner,862000
Renault,Automatic,2019,Petrol,999,13568,1st owner,386000
Maruti,Automatic,2022,Petrol,1462,21566,1st owner,974000
KIA,Manual,2019,Petrol,1497,85336,1st owner,1032000
Maruti,Manual,2015,Petrol,1197,35817,1st owner,377000
Hyundai,Manual,2019,Diesel,1582,72781,1st owner,1114000
Jeep,Manual,2020,Petrol,1368,76041,1st owner,1065000
Maruti,Manual,2016,Petrol,1373,60440,1st owner,478000
Mahindra,Manual,2019,Diesel,2179,45984,1st owner,1011000
Jeep,Manual,2018,Diesel,1956,53738,2nd owner,968000
Maruti,Manual,2021,Petrol,796,8945,1st owner,364000
KIA,Manual,2020,Diesel,1493,68421,1st owner,811000
Tata,Manual,2021,Petrol,1199,8119,1st owner,858000
MG,Automatic,2019,Petrol,1451,8797,1st owner,1338000
Maruti,Manual,2017,Petrol,1197,32348,1st owner,476000
Honda,Manual,2017,Petrol,1497,115810,1st owner,583000
Mahindra,Manual,2020,Petrol,1197,40924,1st owner,681000
Maruti,Manual,2016,Petrol,1197,33099,1st owner,473000
MG,Automatic,2020,Petrol,1451,66590,1st owner,1269000
Hyundai,Manual,2020,Petrol,1497,80554,2nd owner,968000
KIA,Automatic,2019,Diesel,1493,51955,1st owner,1266000
Hyundai,Automatic,2016,Petrol,1591,61059,3rd owner,715000
Tata,Manual,2023,Petrol,1199,24415,1st owner,969000
Maruti,Manual,2018,Petrol,1197,65268,1st owner,509000
Maruti,Manual,2012,Petrol,1197,34096,1st owner,256000
Maruti,Manual,2022,Petrol,1197,35230,1st owner,626000
Toyota,Automatic,2019,Petrol,1197,55311,2nd owner,622000
Hyundai,Manual,2020,Petrol,1497,61464,1st owner,1172000
KIA,Manual,2019,Petrol,1497,32251,1st owner,1127000
Maruti,Automatic,2022,Petrol,1197,27052,1st owner,817000
KIA,Manual,2022,Petrol,998,22078,1st owner,958000
Jeep,Manual,2019,Diesel,1956,93467,1st owner,930000
Maruti,Manual,2018,Petrol,1197,21574,1st owner,630000
Maruti,Manual,2016,Petrol,796,97698,2nd owner,220000
Mahindra,Automatic,2021,Petrol,1997,31332,1st owner,1318000
Mahindra,Automatic,2021,Petrol,1997,25411,1st owner,1365000
Hyundai,Automatic,2019,Petrol,1591,69534,1st owner,1045000
Hyundai,Manual,2014,Petrol,1197,87564,1st owner,443000
Honda,Manual,2020,Petrol,,35169,1st owner,923000
Hyundai,Manual,2021,CNG,1197,19115,1st owner,610000
Maruti,Automatic,2022,Petrol,,6753,1st owner,1294000
Maruti,Manual,2019,Petrol,1197,59602,2nd owner,563000
KIA,Manual,2019,Petrol,1497,64349,1st owner,1053000
Maruti,Manual,2022,Petrol,1462,35483,1st owner,870000
Hyundai,Manual,2018,CNG,1197,87009,2nd owner,464000
Datsun,Manual,2021,Petrol,799,36150,1st owner,314000
Honda,Manual,2018,CNG,,76942,1st owner,512000
Maruti,Automatic,2021,Petrol,1462,29125,2nd owner,829000
Honda,Manual,2012,Petrol,1497,77380,2nd owner,293000
Tata,Automatic,2017,Petrol,1199,102235,1st owner,374000
Hyundai,Manual,2020,Petrol,1497,14693,1st owner,1124000
Renault,Manual,2021,Petrol,1330,50108,1st owner,929000
Hyundai,Manual,2019,Petrol,1591,17333,1st owner,886000
Hyundai,Manual,2015,Petrol,1591,102963,3rd owner,569000
Ford,Manual,2020,Diesel,1498,71807,2nd owner,679000
Tata,Manual,2020,Petrol,1199,53413,1st owner,505000
Maruti,Manual,2015,Petrol,1197,71287,2nd owner,338000
Renault,Manual,2013,Petrol,1598,77978,3rd owner,314000
Mahindra,Manual,2019,Diesel,2179,56200,1st owner,949000
Maruti,Manual,2021,Petrol,1197,11344,1st owner,574000
Maruti,Automatic,2020,Petrol,1197,15673,1st owner,746000
Renault,Automatic,2020,Petrol,999,45704,2nd owner,403000
Hyundai,Manual,2016,CNG,1591,84938,2nd owner,681000
Hyundai,Automatic,2020,Petrol,998,42349,2nd owner,1057000
Datsun,Manual,2018,Petrol,799,30684,1st owner,231000
Maruti,Automatic,2021,Petrol,1462,57060,1st owner,808000
Volkswagen,Manual,2018,Petrol,999,96717,2nd owner,488000
Hyundai,Manual,2017,Petrol,1197,96739,1st owner,374000
Hyundai,Manual,2015,Petrol,1197,38116,1st owner,410000
Maruti,Manual,2020,Petrol,1197,25069,1st owner,570000
KIA,Manual,2020,Petrol,998,37438,2nd owner,874000
KIA,Automatic,2019,Petrol,1353,49161,1st owner,1316000
Tata,Manual,2018,Petrol,1199,60364,1st owner,430000
Maruti,Manual,2017,CNG,,81370,1st owner,350000
Tata,Automatic,2018,Petrol,1199,97131,1st owner,443000
Mahindra,Automatic,2021,Petrol,1997,30914,1st owner,1340000
Mahindra,Automatic,2019,Diesel,2179,36660,1st owner,1262000
Maruti,Manual,2017,Petrol,1197,55771,1st owner,403000
KIA,Automatic,2019,Petrol,1353,24009,1st owner,1405000
Ford,Manual,2020,Diesel,1498,62541,1st owner,826000
Hyundai,Manual,2019,Petrol,998,17536,1st owner,850000
Tata,Manual,2022,Petrol,1199,21897,1st owner,824000
Hyundai,Manual,2015,Petrol,1197,96142,1st owner,322000
Maruti,Automatic,2021,Petrol,1197,38768,1st owner,668000
Renault,Manual,2021,Petrol,,32589,1st owner,349000
KIA,Manual,2022,Petrol,998,29811,1st owner,1024000
Volkswagen,Automatic,2018,Petrol,1197,106608,1st owner,679000
Hyundai,Manual,2021,Petrol,998,39415,1st owner,886000
Maruti,Manual,2021,Petrol,1197,30314,1st owner,592000
Mahindra,Automatic,2022,Petrol,1997,29045,1st owner,1397000
Datsun,Manual,2021,Petrol,799,15680,1st owner,304000
Honda,Manual,2016,Petrol,1497,97885,2nd owner,551000
Nissan,Manual,2022,Petrol,999,13843,1st owner,553000
Datsun,Manual,2019,Petrol,1198,30616,1st owner,411000
Maruti,Automatic,2019,Petrol,1197,36124,1st owner,590000
Honda,Automatic,2023,Petrol,1199,13137,1st owner,917000
Tata,Automatic,2022,Diesel,1956,27222,1st owner,1765000
Maruti,Manual,2019,Petrol,1462,66068,1st owner,663000
Maruti,Manual,2017,CNG,998,110029,1st owner,325000
Maruti,Manual,2015,Petrol,1197,65365,1st owner,355000
Maruti,Manual,2021,Petrol,796,9171,2nd owner,358000
Tata,Automatic,2019,Petrol,1198,61470,1st owner,713000
Tata,Automatic,2022,Petrol,1199,24933,1st owner,789000
Maruti,Manual,2020,Petrol,1197,61172,2nd owner,541000
Honda,Manual,2015,Petrol,1198,44993,1st owner,356000
Maruti,Manual,2013,Petrol,1197,61671,1st owner,282000
Tata,Automatic,2022,Petrol,1199,13124,1st owner,967000
Maruti,Manual,2020,CNG,998,18852,1st owner,516000
Maruti,Automatic,2017,CNG,1373,90034,2nd owner,644000
Maruti,Automatic,2019,Diesel,1248,59343,2nd owner,634000
Honda,Manual,2015,Petrol,1198,41525,1st owner,349000
Hyundai,Manual,2016,Petrol,1591,45368,1st owner,655000
Maruti,Manual,2014,Petrol,1373,58546,1st owner,404000
Hyundai,Manual,2016,CNG,1197,57121,3rd owner,396000
Tata,Manual,2021,Petrol,1199,24927,1st owner,515000
Mahindra,Manual,2019,Petrol,1197,39926,1st owner,829000
Maruti,Manual,2017,Petrol,1197,61039,1st owner,419000
Jeep,Manual,2019,Petrol,1368,59431,1st owner,1149000
Maruti,Automatic,2022,Petrol,1197,36051,1st owner,663000
Honda,Manual,2016,Petrol,1198,52996,1st owner,410000
Maruti,Manual,2019,CNG,1197,47849,2nd owner,537000
Maruti,Manual,2015,Petrol,1197,59365,1st owner,372000
Tata,Automatic,2022,Diesel,1497,19703,1st owner,1053000
Renault,Manual,2020,Petrol,799,62083,1st owner,356000
Maruti,Manual,2020,Petrol,998,15966,1st owner,392000
Hyundai,Manual,2016,Petrol,1197,74240,1st owner,448000
Nissan,Automatic,2022,Petrol,999,42637,1st owner,795000
MG,Automatic,2020,Petrol,1451,50365,2nd owner,1246000
Tata,Manual,2020,Petrol,1199,73158,1st owner,479000
Hyundai,Manual,2014,Petrol,1197,78713,1st owner,347000
Tata,Manual,2017,Petrol,1198,82375,1st owner,590000
Maruti,Manual,2017,Petrol,1197,23582,1st owner,438000
Tata,Manual,2020,Petrol,,38544,2nd owner,524000
Hyundai,Manual,2019,Petrol,1086,49352,1st owner,413000
Ford,Manual,2018,Petrol,1497,99535,1st owner,581000
Renault,Manual,2022,Petrol,,26312,1st owner,446000
Maruti,Manual,2022,CNG,1197,47217,2nd owner,795000
Maruti,Automatic,2018,Petrol,1373,46850,2nd owner,575000
Hyundai,Manual,2016,Petrol,1197,54148,1st owner,493000
Honda,Automatic,2015,Petrol,1497,39168,2nd owner,522000
Renault,Manual,2019,Petrol,,66778,1st owner,340000
KIA,Manual,2022,Diesel,1493,23502,1st owner,955000
Hyundai,Automatic,2017,Petrol,1591,67495,1st owner,832000
Maruti,Automatic,2016,Petrol,998,19759,1st owner,403000
Honda,Manual,2015,Petrol,1497,91368,1st owner,497000
Maruti,Manual,2013,Petrol,1197,36536,1st owner,319000
Nissan,Manual,2021,Petrol,999,42886,1st owner,672000
KIA,Manual,2021,Diesel,1493,28209,1st owner,979000
Maruti,Manual,2019,Petrol,1197,19085,1st owner,459000
Hyundai,Manual,2015,Petrol,1591,102445,2nd owner,472000
Maruti,Manual,2012,Petrol,1197,51629,1st owner,266000
Maruti,Manual,2013,Petrol,998,70322,2nd owner,229000
Hyundai,Manual,2018,Petrol,1591,48108,1st owner,803000
Maruti,Manual,2020,Petrol,,108051,2nd owner,552000
Hyundai,Manual,2020,Petrol,1197,56215,1st owner,551000
Ford,Manual,2018,Petrol,1497,70008,1st owner,652000
Hyundai,Manual,2014,Petrol,1197,85321,1st owner,353000
Maruti,Manual,2012,Petrol,1197,43425,2nd owner,251000
Maruti,Automatic,2017,Petrol,998,40144,1st owner,393000
Maruti,Manual,2017,Petrol,998,54614,1st owner,346000
Hyundai,Manual,2018,CNG,1197,60152,1st owner,476000
Renault,Manual,2019,Diesel,1461,40838,1st owner,713000
Maruti,Manual,2017,Petrol,1197,47968,1st owner,408000
Hyundai,Manual,2018,Petrol,1197,75742,1st owner,403000
Hyundai,Manual,2013,Petrol,1591,108787,1st owner,374000
Maruti,Manual,2019,Petrol,1197,65533,1st owner,503000
Hyundai,Manual,2020,Petrol,998,43417,2nd owner,828000
Maruti,Manual,2019,Petrol,1197,35337,1st owner,540000
Maruti,Manual,2017,Petrol,1197,68304,1st owner,486000
Tata,Manual,2022,Petrol,1199,20770,1st owner,778000
Tata,Manual,2020,Petrol,1199,17280,1st owner,678000
Maruti,Manual,2017,Petrol,1197,47472,1st owner,520000
Volkswagen,Automatic,2019,Petrol,1197,30946,1st owner,1056000
Mahindra,Automatic,2019,Diesel,2179,36879,2nd owner,1026000
Honda,Automatic,2016,Petrol,1497,68957,1st owner,671000
Honda,Automatic,2014,Petrol,1497,69403,1st owner,553000
Honda,Manual,2011,Petrol,1497,88490,1st owner,262000
Hyundai,Manual,2022,Petrol,1197,17035,1st owner,628000
Hyundai,Manual,2016,Petrol,1591,77095,1st owner,700000
Maruti,Manual,2016,Petrol,1197,40875,1st owner,474000
Maruti,Manual,2021,Petrol,1197,28415,1st owner,638000
Tata,Manual,2021,Petrol,1199,46101,1st owner,769000
Hyundai,Automatic,2014,Petrol,1197,36652,1st owner,393000
Maruti,Manual,2019,Petrol,1462,41735,1st owner,719000
Maruti,Automatic,2019,Petrol,1197,22779,2nd owner,643000
Mahindra,Manual,2019,Diesel,2179,46648,1st owner,1099000
Maruti,Manual,2011,Petrol,998,93282,1st owner,163000
Tata,Manual,2020,Petrol,1199,67014,1st owner,489000
Maruti,Manual,2020,CNG,998,64311,1st owner,412000
Hyundai,Manual,2017,CNG,,99180,1st owner,406000
Mahindra,Manual,2021,Diesel,1497,18252,2nd owner,961000
Honda,Manual,2016,Petrol,1497,56424,2nd owner,609000
Hyundai,Manual,2018,Petrol,1591,103772,2nd owner,723000
Maruti,Manual,2021,Petrol,1197,29923,1st owner,606000
Maruti,Manual,2021,Petrol,1197,41436,1st owner,591000
Renault,Manual,2022,Petrol,999,7021,1st owner,629000
Hyundai,Manual,2018,Petrol,,60193,1st owner,803000
Tata,Manual,2021,Petrol,1199,29667,2nd owner,508000
Hyundai,Manual,2019,Petrol,1086,62309,1st owner,407000
Volkswagen,Automatic,2019,Petrol,1197,58082,1st owner,910000
Hyundai,Manual,2015,Petrol,1197,29116,1st owner,363000
Maruti,Manual,2020,Petrol,998,30782,1st owner,369000
Honda,Automatic,2017,Petrol,1199,95825,2nd owner,471000
Honda,Manual,2017,Petrol,1199,59577,1st owner,416000
Renault,Automatic,2023,Petrol,999,21044,1st owner,741000
Renault,Manual,2020,Petrol,999,11812,1st owner,407000
Ford,Manual,2019,Diesel,1498,78701,1st owner,705000
Hyundai,Manual,2021,Petrol,1086,13421,1st owner,472000
Hyundai,Manual,2014,Petrol,1197,57224,1st owner,332000
Renault,Manual,2023,Petrol,999,14050,1st owner,683000
Mahindra,Manual,2019,Diesel,2179,55608,2nd owner,860000
Maruti,Manual,2018,Petrol,1462,51690,1st owner,665000
Maruti,Manual,2021,Petrol,1197,20654,1st owner,603000
Hyundai,Automatic,2019,Petrol,1591,47323,1st owner,1096000
Maruti,Manual,2018,Petrol,1197,35462,1st owner,535000
Hyundai,Manual,2021,Petrol,1197,30058,1st owner,610000
Renault,Manual,2021,Petrol,999,28929,1st owner,525000
Mahindra,Automatic,2020,Diesel,1497,64038,1st owner,862000
Maruti,Manual,2021,Petrol,1197,25705,1st owner,669000
Maruti,Automatic,2018,Petrol,998,35251,1st owner,448000
Mahindra,Manual,2019,Diesel,1497,21843,2nd owner,692000
KIA,Manual,2022,Petrol,998,15612,1st owner,954000
Hyundai,Manual,2014,Petrol,1197,33251,1st owner,389000
Hyundai,Manual,2021,CNG,1197,30541,1st owner,631000
Maruti,Manual,2019,Petrol,,48969,1st owner,629000
Maruti,Manual,2017,Petrol,1373,43537,1st owner,647000
Hyundai,Automatic,2017,Petrol,1591,76048,2nd owner,828000
Maruti,Manual,2018,Petrol,1197,31802,1st owner,555000
Maruti,Manual,2022,Petrol,1197,13103,1st owner,568000
Maruti,Manual,2022,CNG,998,38261,1st owner,616000
Maruti,Manual,2019,Petrol,998,63194,1st owner,394000
KIA,Automatic,2021,Diesel,1493,66666,1st owner,1492000
Maruti,Manual,2014,Petrol,998,32631,1st owner,288000
Hyundai,Manual,2022,Petrol,1197,33898,1st owner,651000
Maruti,Manual,2018,CNG,998,80107,3rd owner,394000
Renault,Manual,2022,Petrol,999,15362,1st owner,408000
Maruti,Manual,2014,Petrol,998,64539,2nd owner,236000
Tata,Automatic,2020,Electric,,46001,1st owner,1100000
Hyundai,Manual,2015,Petrol,1197,99453,1st owner,339000
Honda,Automatic,2014,Petrol,1497,47445,2nd owner,472000
Maruti,Manual,2019,Petrol,1197,30890,2nd owner,582000
Honda,Automatic,2019,Petrol,1497,68275,1st owner,892000
Ford,Manual,2019,Petrol,1497,98296,2nd owner,616000
Hyundai,Manual,2011,Petrol,1197,89562,2nd owner,230000
Renault,Manual,2022,Petrol,999,7168,1st owner,421000
Renault,Manual,2019,Petrol,999,34562,1st owner,364000
Honda,Manual,2011,Petrol,1497,61297,1st owner,234000
Tata,Manual,2020,Petrol,1199,62836,1st owner,763000
Tata,Manual,2021,Petrol,1199,47603,1st owner,530000
Maruti,Manual,2015,Petrol,1373,119079,1st owner,427000
Maruti,Automatic,2020,Petrol,998,41307,2nd owner,477000
Nissan,Manual,2022,Petrol,999,26583,1st owner,874000
Tata,Manual,2021,Petrol,1199,19878,1st owner,574000
Maruti,Manual,2015,Petrol,1373,56050,1st owner,512000
Maruti,Manual,2019,Petrol,1197,34898,1st owner,474000
Hyundai,Manual,2012,Petrol,1591,38005,1st owner,356000
Renault,Manual,2022,Petrol,999,21089,1st owner,613000
Hyundai,Automatic,2020,Petrol,1353,57541,1st owner,1438000
Renault,Automatic,2020,Petrol,999,12381,1st owner,399000
Maruti,Manual,2020,Petrol,1197,38482,1st owner,602000
Maruti,Manual,2020,Petrol,998,30057,1st owner,403000
Honda,Manual,2015,Petrol,1497,89726,1st owner,523000
Maruti,Manual,2021,Petrol,1197,20120,1st owner,644000
Honda,Manual,2015,Petrol,1198,96395,1st owner,327000
Hyundai,Manual,2011,Petrol,1197,97272,1st owner,189000
Maruti,Manual,2016,Petrol,1197,58639,2nd owner,459000
Maruti,Manual,2020,Petrol,1197,31279,1st owner,602000
Hyundai,Manual,2015,Petrol,1197,99108,1st owner,322000
Hyundai,Manual,2018,CNG,1197,90833,1st owner,462000
Hyundai,Manual,2011,Petrol,,43796,1st owner,214000
Tata,Manual,2022,Petrol,1199,26202,1st owner,1038000
Maruti,Manual,2015,Petrol,998,66325,1st owner,312000
Mahindra,Manual,2019,Diesel,2179,42625,2nd owner,1055000
Hyundai,Automatic,2019,Petrol,998,72340,1st owner,877000
Maruti,Manual,2020,Petrol,1197,60937,1st owner,589000
Maruti,Manual,2020,Petrol,1197,35495,1st owner,659000
Hyundai,Manual,2016,Petrol,1197,22581,1st owner,391000
Honda,Automatic,2016,Petrol,1497,30591,1st owner,729000
Hyundai,Manual,2017,Petrol,1197,47327,2nd owner,502000
Maruti,Manual,2011,Petrol,1197,43560,1st owner,185000
Maruti,Manual,2020,Petrol,998,18518,1st owner,408000
Maruti,Manual,2020,Petrol,998,54209,1st owner,451000
Mahindra,Manual,2023,Petrol,1197,12061,1st owner,1128000
Hyundai,Automatic,2017,Petrol,1591,41908,1st owner,849000
Hyundai,Manual,2020,Petrol,998,49650,1st owner,860000
Renault,Automatic,2020,Petrol,999,13341,1st owner,664000
Renault,Manual,2022,Petrol,999,15517,1st owner,432000
Maruti,Manual,2011,Petrol,1197,48906,1st owner,222000
Maruti,Manual,2022,Petrol,998,21688,2nd owner,405000
Hyundai,Manual,2016,Petrol,1197,97502,1st owner,396000
